"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a6_value_2","","","","","","","","","","","","","","","","","","","",""
"Start statin first, add/switch to ezetimibe or Nexletol/Nexlizet if needed","12% (16)","11% (10)","15% (6)","0% (0)","0% (0)","0% (0)","11% (13)","11% (1)","9% (6)","14% (10)","6% (2)","18% (11)","5% (2)","14% (1)","9% (4)","23% (6)","11% (3)","5% (2)","12% (13)","9% (3)"
"Start statin and ezetimibe or Nexletol/Nexlizet at the same time","4% (5)","3% (3)","5% (2)","0% (0)","0% (0)","0% (0)","4% (5)","0% (0)","5% (3)","3% (2)","6% (2)","2% (1)","3% (1)","14% (1)","2% (1)","8% (2)","4% (1)","3% (1)","1% (1)","13% (4)"
"Start ezetimibe or Nexletol/Nexlizet, no statin","1% (2)","1% (1)","2% (1)","0% (0)","0% (0)","0% (0)","1% (1)","11% (1)","3% (2)","0% (0)","3% (1)","2% (1)","0% (0)","0% (0)","2% (1)","0% (0)","4% (1)","0% (0)","1% (1)","3% (1)"
"Start statin first, add/switch to PCSK9i if needed","63% (87)","62% (56)","66% (27)","0% (0)","60% (3)","50% (1)","64% (74)","44% (4)","66% (43)","60% (44)","56% (19)","62% (37)","73% (27)","57% (4)","59% (27)","50% (13)","70% (19)","74% (28)","63% (67)","63% (20)"
"Start statin and PCSK9i at the same time","21% (29)","23% (21)","17% (7)","0% (0)","20% (1)","0% (0)","20% (23)","22% (2)","29% (19)","14% (10)","32% (11)","17% (10)","19% (7)","14% (1)","26% (12)","15% (4)","22% (6)","18% (7)","21% (22)","22% (7)"
"Start PCSK9i, no statin","10% (14)","11% (10)","10% (4)","0% (0)","0% (0)","0% (0)","10% (12)","22% (2)","9% (6)","11% (8)","9% (3)","12% (7)","8% (3)","14% (1)","4% (2)","15% (4)","7% (2)","16% (6)","9% (10)","13% (4)"
"Start statin first, add/switch to ezetimibe or Nexletol/Nexlizet if needed, add/switch to PCSK9i if needed after that","13% (18)","13% (12)","10% (4)","0% (0)","20% (1)","50% (1)","13% (15)","22% (2)","11% (7)","15% (11)","12% (4)","15% (9)","14% (5)","0% (0)","13% (6)","19% (5)","11% (3)","8% (3)","11% (12)","19% (6)"
"Other","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a6_value_3","","","","","","","","","","","","","","","","","","","",""
"Start statin first, add/switch to ezetimibe or Nexletol/Nexlizet if needed","11% (15)","13% (12)","7% (3)","0% (0)","0% (0)","0% (0)","10% (12)","11% (1)","9% (6)","12% (9)","15% (5)","7% (4)","14% (5)","14% (1)","11% (5)","8% (2)","11% (3)","13% (5)","11% (12)","9% (3)"
"Start statin and ezetimibe or Nexletol/Nexlizet at the same time","4% (6)","3% (3)","5% (2)","0% (0)","20% (1)","0% (0)","3% (4)","11% (1)","3% (2)","5% (4)","6% (2)","3% (2)","5% (2)","0% (0)","4% (2)","8% (2)","4% (1)","0% (0)","5% (5)","3% (1)"
"Start ezetimibe or Nexletol/Nexlizet, no statin","2% (3)","2% (2)","2% (1)","0% (0)","0% (0)","0% (0)","2% (2)","11% (1)","3% (2)","1% (1)","6% (2)","2% (1)","0% (0)","0% (0)","2% (1)","4% (1)","4% (1)","0% (0)","2% (2)","3% (1)"
"Start statin first, add/switch to PCSK9i if needed","7% (10)","8% (7)","7% (3)","0% (0)","0% (0)","0% (0)","8% (9)","0% (0)","11% (7)","4% (3)","9% (3)","8% (5)","5% (2)","0% (0)","9% (4)","8% (2)","4% (1)","8% (3)","5% (5)","16% (5)"
"Start statin and PCSK9i at the same time","7% (10)","8% (7)","7% (3)","0% (0)","0% (0)","0% (0)","8% (9)","0% (0)","3% (2)","11% (8)","6% (2)","8% (5)","8% (3)","0% (0)","7% (3)","8% (2)","7% (2)","8% (3)","7% (7)","9% (3)"
"Start PCSK9i, no statin","10% (14)","10% (9)","10% (4)","0% (0)","20% (1)","0% (0)","9% (11)","33% (3)","9% (6)","11% (8)","6% (2)","10% (6)","16% (6)","0% (0)","7% (3)","12% (3)","4% (1)","18% (7)","8% (9)","16% (5)"
"Start statin first, add/switch to ezetimibe or Nexletol/Nexlizet if needed, add/switch to PCSK9i if needed after that","76% (105)","77% (69)","78% (32)","0% (0)","60% (3)","50% (1)","78% (90)","56% (5)","86% (56)","67% (49)","74% (25)","78% (47)","70% (26)","100% (7)","76% (35)","81% (21)","85% (23)","66% (25)","76% (81)","75% (24)"
"Other","3% (4)","2% (2)","5% (2)","0% (0)","0% (0)","0% (0)","3% (4)","0% (0)","5% (3)","1% (1)","0% (0)","5% (3)","3% (1)","0% (0)","0% (0)","4% (1)","4% (1)","5% (2)","3% (3)","3% (1)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a6_value_4","","","","","","","","","","","","","","","","","","","",""
"Start statin first, add/switch to ezetimibe or Nexletol/Nexlizet if needed","9% (13)","10% (9)","7% (3)","0% (0)","20% (1)","0% (0)","6% (7)","44% (4)","6% (4)","12% (9)","9% (3)","8% (5)","14% (5)","0% (0)","7% (3)","12% (3)","0% (0)","18% (7)","9% (10)","9% (3)"
"Start statin and ezetimibe or Nexletol/Nexlizet at the same time","9% (12)","8% (7)","12% (5)","0% (0)","0% (0)","0% (0)","8% (9)","22% (2)","6% (4)","11% (8)","9% (3)","8% (5)","11% (4)","0% (0)","4% (2)","12% (3)","15% (4)","8% (3)","8% (8)","13% (4)"
"Start ezetimibe or Nexletol/Nexlizet, no statin","1% (2)","1% (1)","0% (0)","0% (0)","20% (1)","0% (0)","2% (2)","0% (0)","2% (1)","1% (1)","0% (0)","3% (2)","0% (0)","0% (0)","2% (1)","4% (1)","0% (0)","0% (0)","2% (2)","0% (0)"
"Start statin first, add/switch to PCSK9i if needed","3% (4)","3% (3)","2% (1)","0% (0)","0% (0)","0% (0)","3% (4)","0% (0)","5% (3)","1% (1)","6% (2)","2% (1)","3% (1)","0% (0)","4% (2)","4% (1)","4% (1)","0% (0)","3% (3)","3% (1)"
"Start statin and PCSK9i at the same time","3% (4)","3% (3)","2% (1)","0% (0)","0% (0)","0% (0)","3% (3)","0% (0)","6% (4)","0% (0)","9% (3)","2% (1)","0% (0)","0% (0)","4% (2)","4% (1)","4% (1)","0% (0)","3% (3)","3% (1)"
"Start PCSK9i, no statin","10% (14)","9% (8)","15% (6)","0% (0)","0% (0)","0% (0)","10% (12)","11% (1)","11% (7)","10% (7)","9% (3)","12% (7)","11% (4)","0% (0)","7% (3)","15% (4)","11% (3)","11% (4)","8% (9)","16% (5)"
"Start statin first, add/switch to ezetimibe or Nexletol/Nexlizet if needed, add/switch to PCSK9i if needed after that","7% (10)","4% (4)","15% (6)","0% (0)","0% (0)","0% (0)","8% (9)","0% (0)","3% (2)","11% (8)","9% (3)","5% (3)","8% (3)","14% (1)","4% (2)","12% (3)","19% (5)","0% (0)","5% (5)","16% (5)"
"Other","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a7","","","","","","","","","","","","","","","","","","","",""
"Makes PCSK9s easier to get covered by insurance / get patients on the medication","66% (118)","67% (80)","64% (34)","0% (0)","60% (3)","50% (1)","64% (96)","92% (11)","71% (65)","60% (53)","72% (31)","61% (51)","65% (30)","75% (6)","70% (39)","59% (22)","64% (23)","69% (34)","65% (86)","68% (32)"
"Offers an option to patients who can�t or won�t take a statin","58% (104)","56% (67)","62% (33)","0% (0)","40% (2)","100% (2)","57% (86)","75% (9)","52% (47)","64% (57)","65% (28)","55% (46)","57% (26)","50% (4)","63% (35)","54% (20)","67% (24)","51% (25)","57% (76)","60% (28)"
"Enables me to use PCSK9s sooner for patients","53% (96)","55% (66)","51% (27)","0% (0)","40% (2)","50% (1)","55% (82)","58% (7)","51% (46)","56% (50)","51% (22)","52% (43)","59% (27)","50% (4)","54% (30)","49% (18)","56% (20)","53% (26)","56% (75)","45% (21)"
"Allows me to better customize treatment plans for patients","40% (72)","39% (47)","45% (24)","0% (0)","20% (1)","0% (0)","37% (56)","67% (8)","37% (34)","43% (38)","44% (19)","39% (32)","43% (20)","13% (1)","45% (25)","38% (14)","44% (16)","35% (17)","41% (55)","36% (17)"
"Other (Specify)","1% (2)","1% (1)","0% (0)","0% (0)","20% (1)","0% (0)","1% (1)","8% (1)","0% (0)","2% (2)","0% (0)","0% (0)","4% (2)","0% (0)","0% (0)","3% (1)","0% (0)","2% (1)","2% (2)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a8r1","","","","","","","","","","","","","","","","","","","",""
"Repatha","2% (3)","1% (1)","4% (2)","0% (0)","0% (0)","0% (0)","2% (3)","0% (0)","1% (1)","2% (2)","0% (0)","2% (2)","2% (1)","0% (0)","0% (0)","3% (1)","3% (1)","2% (1)","1% (1)","4% (2)"
"Praluent","11% (19)","10% (12)","9% (5)","0% (0)","40% (2)","0% (0)","12% (18)","8% (1)","12% (11)","9% (8)","9% (4)","10% (8)","13% (6)","13% (1)","9% (5)","11% (4)","6% (2)","16% (8)","11% (14)","11% (5)"
"Leqvio","7% (13)","5% (6)","9% (5)","0% (0)","40% (2)","0% (0)","8% (12)","0% (0)","8% (7)","7% (6)","5% (2)","6% (5)","7% (3)","38% (3)","4% (2)","5% (2)","8% (3)","12% (6)","6% (8)","11% (5)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a8r2","","","","","","","","","","","","","","","","","","","",""
"Repatha","4% (7)","3% (4)","6% (3)","0% (0)","0% (0)","0% (0)","4% (6)","0% (0)","2% (2)","6% (5)","0% (0)","4% (3)","7% (3)","13% (1)","0% (0)","3% (1)","8% (3)","6% (3)","3% (4)","6% (3)"
"Praluent","14% (25)","13% (15)","15% (8)","0% (0)","40% (2)","0% (0)","15% (22)","17% (2)","14% (13)","13% (12)","12% (5)","13% (11)","15% (7)","25% (2)","11% (6)","11% (4)","14% (5)","20% (10)","13% (17)","17% (8)"
"Leqvio","17% (31)","19% (23)","11% (6)","0% (0)","40% (2)","0% (0)","17% (25)","8% (1)","16% (15)","18% (16)","12% (5)","14% (12)","24% (11)","38% (3)","9% (5)","14% (5)","11% (4)","35% (17)","17% (22)","19% (9)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a8r3","","","","","","","","","","","","","","","","","","","",""
"Repatha","20% (36)","20% (24)","21% (11)","0% (0)","20% (1)","0% (0)","23% (34)","0% (0)","16% (15)","24% (21)","9% (4)","22% (18)","28% (13)","13% (1)","11% (6)","16% (6)","22% (8)","31% (15)","14% (19)","36% (17)"
"Praluent","29% (53)","30% (36)","26% (14)","0% (0)","60% (3)","0% (0)","32% (48)","25% (3)","27% (25)","31% (28)","21% (9)","30% (25)","37% (17)","25% (2)","16% (9)","35% (13)","25% (9)","43% (21)","22% (29)","51% (24)"
"Leqvio","34% (61)","35% (42)","30% (16)","0% (0)","60% (3)","0% (0)","37% (56)","8% (1)","34% (31)","34% (30)","19% (8)","33% (27)","43% (20)","75% (6)","18% (10)","30% (11)","28% (10)","57% (28)","29% (38)","49% (23)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a8r4","","","","","","","","","","","","","","","","","","","",""
"Repatha","8% (14)","9% (11)","6% (3)","0% (0)","0% (0)","0% (0)","9% (13)","0% (0)","9% (8)","7% (6)","7% (3)","7% (6)","11% (5)","0% (0)","9% (5)","3% (1)","6% (2)","12% (6)","6% (8)","13% (6)"
"Praluent","15% (27)","15% (18)","13% (7)","0% (0)","40% (2)","0% (0)","15% (23)","17% (2)","18% (16)","12% (11)","16% (7)","14% (12)","15% (7)","13% (1)","16% (9)","8% (3)","8% (3)","24% (12)","14% (18)","19% (9)"
"Leqvio","12% (21)","11% (13)","13% (7)","0% (0)","20% (1)","0% (0)","13% (20)","0% (0)","13% (12)","10% (9)","9% (4)","7% (6)","17% (8)","38% (3)","7% (4)","5% (2)","14% (5)","20% (10)","11% (14)","15% (7)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a8r5","","","","","","","","","","","","","","","","","","","",""
"Repatha","1% (1)","1% (1)","0% (0)","0% (0)","0% (0)","0% (0)","1% (1)","0% (0)","1% (1)","0% (0)","0% (0)","1% (1)","0% (0)","0% (0)","0% (0)","3% (1)","0% (0)","0% (0)","1% (1)","0% (0)"
"Praluent","10% (18)","10% (12)","8% (4)","0% (0)","40% (2)","0% (0)","11% (16)","17% (2)","10% (9)","10% (9)","12% (5)","8% (7)","11% (5)","13% (1)","9% (5)","11% (4)","3% (1)","16% (8)","11% (15)","6% (3)"
"Leqvio","7% (12)","6% (7)","8% (4)","0% (0)","20% (1)","0% (0)","7% (11)","0% (0)","9% (8)","4% (4)","7% (3)","5% (4)","4% (2)","38% (3)","4% (2)","5% (2)","6% (2)","12% (6)","6% (8)","9% (4)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a9_value_1","","","","","","","","","","","","","","","","","","","",""
"Repatha","18% (32)","18% (22)","17% (9)","0% (0)","0% (0)","50% (1)","17% (26)","8% (1)","19% (17)","17% (15)","21% (9)","16% (13)","22% (10)","0% (0)","25% (14)","14% (5)","17% (6)","14% (7)","19% (25)","15% (7)"
"Praluent","11% (20)","13% (15)","9% (5)","0% (0)","0% (0)","0% (0)","11% (16)","8% (1)","11% (10)","11% (10)","14% (6)","10% (8)","13% (6)","0% (0)","16% (9)","5% (2)","8% (3)","12% (6)","14% (18)","4% (2)"
"Leqvio","11% (20)","13% (15)","9% (5)","0% (0)","0% (0)","0% (0)","11% (16)","8% (1)","12% (11)","10% (9)","14% (6)","12% (10)","9% (4)","0% (0)","14% (8)","11% (4)","8% (3)","10% (5)","14% (19)","2% (1)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a9_value_2","","","","","","","","","","","","","","","","","","","",""
"Repatha","47% (85)","54% (65)","38% (20)","0% (0)","0% (0)","0% (0)","46% (69)","75% (9)","48% (44)","46% (41)","42% (18)","48% (40)","48% (22)","63% (5)","43% (24)","57% (21)","31% (11)","57% (28)","48% (64)","45% (21)"
"Praluent","43% (77)","48% (58)","32% (17)","0% (0)","20% (1)","50% (1)","41% (62)","75% (9)","49% (45)","36% (32)","35% (15)","49% (41)","37% (17)","50% (4)","43% (24)","59% (22)","28% (10)","41% (20)","46% (61)","34% (16)"
"Leqvio","28% (51)","32% (38)","23% (12)","0% (0)","20% (1)","0% (0)","29% (43)","33% (4)","31% (28)","26% (23)","26% (11)","30% (25)","30% (14)","13% (1)","34% (19)","46% (17)","14% (5)","18% (9)","29% (38)","28% (13)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a9_value_3","","","","","","","","","","","","","","","","","","","",""
"Repatha","32% (57)","25% (30)","40% (21)","0% (0)","100% (5)","50% (1)","33% (49)","17% (2)","30% (27)","34% (30)","35% (15)","31% (26)","28% (13)","38% (3)","30% (17)","30% (11)","47% (17)","22% (11)","29% (38)","40% (19)"
"Praluent","38% (68)","31% (37)","51% (27)","0% (0)","60% (3)","50% (1)","40% (60)","8% (1)","34% (31)","42% (37)","42% (18)","35% (29)","37% (17)","50% (4)","36% (20)","27% (10)","58% (21)","33% (16)","32% (43)","53% (25)"
"Leqvio","45% (81)","45% (54)","45% (24)","0% (0)","20% (1)","100% (2)","45% (67)","50% (6)","48% (44)","42% (37)","49% (21)","45% (37)","39% (18)","63% (5)","46% (26)","35% (13)","50% (18)","47% (23)","43% (57)","51% (24)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a9_value_4","","","","","","","","","","","","","","","","","","","",""
"Repatha","3% (6)","3% (3)","6% (3)","0% (0)","0% (0)","0% (0)","4% (6)","0% (0)","3% (3)","3% (3)","2% (1)","5% (4)","2% (1)","0% (0)","2% (1)","0% (0)","6% (2)","6% (3)","5% (6)","0% (0)"
"Praluent","8% (15)","8% (10)","8% (4)","0% (0)","20% (1)","0% (0)","8% (12)","8% (1)","5% (5)","11% (10)","9% (4)","6% (5)","13% (6)","0% (0)","5% (3)","8% (3)","6% (2)","14% (7)","8% (11)","9% (4)"
"Leqvio","16% (28)","11% (13)","23% (12)","0% (0)","60% (3)","0% (0)","16% (24)","8% (1)","9% (8)","22% (20)","12% (5)","13% (11)","22% (10)","25% (2)","5% (3)","8% (3)","28% (10)","24% (12)","14% (19)","19% (9)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a10","","","","","","","","","","","","","","","","","","","",""
"Patient failed statins prior to starting PCSK9i","66% (118)","67% (80)","60% (32)","0% (0)","80% (4)","100% (2)","67% (101)","75% (9)","66% (60)","65% (58)","65% (28)","61% (51)","74% (34)","63% (5)","68% (38)","68% (25)","67% (24)","59% (29)","65% (86)","68% (32)"
"Patient is statin intolerant","85% (153)","85% (102)","83% (44)","0% (0)","100% (5)","100% (2)","83% (125)","100% (12)","85% (77)","85% (76)","88% (38)","82% (68)","87% (40)","88% (7)","86% (48)","84% (31)","89% (32)","82% (40)","84% (112)","87% (41)"
"Patient refused statins","63% (114)","64% (77)","58% (31)","0% (0)","80% (4)","100% (2)","63% (95)","75% (9)","63% (57)","64% (57)","70% (30)","64% (53)","52% (24)","88% (7)","66% (37)","68% (25)","58% (21)","61% (30)","62% (83)","66% (31)"
"Statins are contraindicated for patient","52% (94)","53% (63)","57% (30)","0% (0)","0% (0)","50% (1)","51% (76)","75% (9)","49% (45)","55% (49)","53% (23)","49% (41)","52% (24)","75% (6)","59% (33)","49% (18)","58% (21)","41% (20)","53% (70)","51% (24)"
"Patient not or unlikely to be compliant on statins","28% (51)","29% (35)","28% (15)","0% (0)","0% (0)","50% (1)","26% (39)","58% (7)","29% (26)","28% (25)","28% (12)","31% (26)","20% (9)","50% (4)","36% (20)","19% (7)","33% (12)","22% (11)","30% (40)","23% (11)"
"Haven�t prescribed PCSK9s without a statin","2% (3)","0% (0)","6% (3)","0% (0)","0% (0)","0% (0)","2% (3)","0% (0)","1% (1)","2% (2)","0% (0)","4% (3)","0% (0)","0% (0)","0% (0)","3% (1)","3% (1)","2% (1)","2% (3)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: b1","","","","","","","","","","","","","","","","","","","",""
"Not insured","2.8","3.1","2.1","NaN","2.2","7.5","2.7","4","3","2.6","2.2","2.5","3.7","3.9","2.1","2.8","2.6","3.6","2.6","3.4"
"Private insurance provided by employer / purchased in exchange","34.6","30.8","43.3","NaN","33","37.5","35.1","25.2","32.1","37.1","35.2","33.2","36","37.5","30.9","31.6","44.9","33.4","32.7","40"
"Traditional Medicare (Medicare Part B Fee for Service)","21.4","23.6","17.6","NaN","17","2.5","21","32.2","21.8","21","23.8","21.1","19.1","25","25.8","22.3","16.8","19.3","23","16.9"
"Traditional Medicare with supplemental insurance","18.4","19.2","16.4","NaN","17","27.5","18.4","13.3","19.7","17.1","17.7","19.6","18","12.5","18.1","19.1","16.3","19.5","19.1","16.5"
"Private Medicare (Medicare Advantage / Part C managed through Private payer)","12.5","12.3","12.1","NaN","14.8","25","12.4","12.8","13.1","11.8","13.1","12.3","12.4","11.3","12.2","14","12.3","11.8","12.1","13.5"
"Medicaid","8","8.6","6.5","NaN","14","0","8.2","7.8","7.5","8.6","5.4","9.3","8.1","8.1","8.5","7.7","5.4","9.5","8.2","7.5"
"Veterans Administration (VA)","2","2.2","1.5","NaN","2","0","1.7","4.7","2.1","1.8","2","1.6","2.6","1.8","1.9","2.1","1.6","2.3","2","1.8"
"Other","0.4","0.4","0.4","NaN","0","0","0.4","0","0.7","0","0.5","0.4","0.2","0","0.4","0.4","0","0.6","0.4","0.3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: b5","","","","","","","","","","","","","","","","","","","",""
"Internal Medicine","64% (34)","0% (0)","64% (34)","0% (0)","0% (0)","0% (0)","67% (33)","0% (0)","85% (11)","58% (23)","83% (5)","67% (20)","57% (8)","33% (1)","60% (3)","75% (6)","56% (18)","86% (6)","65% (17)","63% (17)"
"General Practitioner","4% (2)","0% (0)","4% (2)","0% (0)","0% (0)","0% (0)","4% (2)","0% (0)","0% (0)","5% (2)","0% (0)","0% (0)","7% (1)","33% (1)","0% (0)","0% (0)","3% (1)","14% (1)","0% (0)","7% (2)"
"Primary Care","4% (2)","0% (0)","4% (2)","0% (0)","0% (0)","0% (0)","4% (2)","0% (0)","0% (0)","5% (2)","0% (0)","0% (0)","7% (1)","33% (1)","0% (0)","0% (0)","3% (1)","14% (1)","0% (0)","7% (2)"
"Family Practice","36% (19)","0% (0)","36% (19)","0% (0)","0% (0)","0% (0)","33% (16)","0% (0)","15% (2)","43% (17)","17% (1)","33% (10)","43% (6)","67% (2)","40% (2)","25% (2)","44% (14)","14% (1)","35% (9)","37% (10)"
"Doctor of Osteopathic Medicine (DO)","6% (3)","0% (0)","6% (3)","0% (0)","0% (0)","0% (0)","6% (3)","0% (0)","0% (0)","8% (3)","0% (0)","3% (1)","14% (2)","0% (0)","0% (0)","13% (1)","6% (2)","0% (0)","12% (3)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
